"","Date","AQI","Range","Quality level","PM2.5","PM10","SO2","CO","NO2","O3","Ranking","year","month","quarter"
"1",2014-01-01,121,"112~123 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","83.9 ","127 ","57.8 ","2.109 ","51.2 ","64 ","86 ",2014,1,"Q1"
"2",2014-01-02,109,"59~154 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","70 ","108.9 ","53.2 ","2.213 ","44.9 ","64 ","60 ",2014,1,"Q1"
"3",2014-01-03,90,"59~164 ","<U+826F>","61 ","106.6 ","57.2 ","2.083 ","43.1 ","68 ","51 ",2014,1,"Q1"
"4",2014-01-04,100,"68~161 ","<U+826F>","70.8 ","117 ","61.5 ","2.205 ","51.5 ","52 ","66 ",2014,1,"Q1"
"5",2014-01-05,152,"91~299 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","116.5 ","156.1 ","92.8 ","2.462 ","60.1 ","33 ","92 ",2014,1,"Q1"
"6",2014-01-06,232,"217~255 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","181.6 ","245.4 ","131.4 ","3.105 ","72.4 ","18 ","145 ",2014,1,"Q1"
"7",2014-01-07,146,"50~224 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","101.6 ","160.3 ","66.3 ","2.345 ","45.3 ","75 ","101 ",2014,1,"Q1"
"8",2014-01-08,63,"38~132 ","<U+826F>","29.8 ","65.9 ","23.5 ","1.717 ","24.1 ","76 ","75 ",2014,1,"Q1"
"9",2014-01-09,108,"64~208 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","78.8 ","128 ","74.8 ","2.321 ","50.6 ","43 ","133 ",2014,1,"Q1"
"10",2014-01-10,164,"93~251 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","124.9 ","185.3 ","86.4 ","2.752 ","64.3 ","37 ","141 ",2014,1,"Q1"
"11",2014-01-11,126,"48~213 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","91.7 ","148.9 ","65.9 ","2.532 ","50.1 ","69 ","97 ",2014,1,"Q1"
"12",2014-01-12,98,"60~165 ","<U+826F>","66.9 ","119.6 ","49.6 ","2.278 ","45.6 ","69 ","98 ",2014,1,"Q1"
"13",2014-01-13,125,"77~245 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","93.4 ","148 ","68.9 ","2.635 ","51.9 ","51 ","123 ",2014,1,"Q1"
"14",2014-01-14,196,"150~278 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","151.1 ","210.9 ","91.7 ","3.03 ","65.5 ","43 ","150 ",2014,1,"Q1"
"15",2014-01-15,282,"219~396 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","231.3 ","298.3 ","137.5 ","3.595 ","77.7 ","35 ","159 ",2014,1,"Q1"
"16",2014-01-16,252,"98~386 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","205.2 ","261.6 ","101.3 ","3.186 ","69.6 ","68 ","147 ",2014,1,"Q1"
"17",2014-01-17,153,"59~235 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","114.9 ","164.2 ","63.1 ","2.467 ","54.5 ","77 ","82 ",2014,1,"Q1"
"18",2014-01-18,162,"83~230 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","121.5 ","172.5 ","78.2 ","2.474 ","57.8 ","63 ","89 ",2014,1,"Q1"
"19",2014-01-19,124,"66~190 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","82 ","160.8 ","56 ","2.27 ","52.2 ","81 ","60 ",2014,1,"Q1"
"20",2014-01-20,96,"70~168 ","<U+826F>","62.2 ","118.8 ","43.2 ","2.095 ","41.5 ","73 ","77 ",2014,1,"Q1"
"21",2014-01-21,111,"89~140 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","82.9 ","139.9 ","63 ","2.427 ","46.6 ","61 ","126 ",2014,1,"Q1"
"22",2014-01-22,187,"134~341 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","146.5 ","195 ","108.2 ","2.705 ","66.3 ","58 ","171 ",2014,1,"Q1"
"23",2014-01-23,257,"164~361 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","207.8 ","263.5 ","119.1 ","3.113 ","81.7 ","72 ","179 ",2014,1,"Q1"
"24",2014-01-24,182,"80~296 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","133.5 ","205.8 ","80.7 ","2.746 ","56.1 ","83 ","130 ",2014,1,"Q1"
"25",2014-01-25,119,"81~210 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","84.4 ","151.1 ","57.3 ","2.328 ","48.1 ","54 ","99 ",2014,1,"Q1"
"26",2014-01-26,206,"112~345 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","165 ","220 ","96.6 ","2.952 ","58.2 ","55 ","156 ",2014,1,"Q1"
"27",2014-01-27,289,"152~338 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","238.9 ","290.1 ","97.4 ","3.605 ","71.1 ","75 ","175 ",2014,1,"Q1"
"28",2014-01-28,193,"102~322 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","151.5 ","205.3 ","81.5 ","2.89 ","53.9 ","86 ","147 ",2014,1,"Q1"
"29",2014-01-29,279,"223~380 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","228.6 ","275.6 ","98.6 ","3.416 ","66.6 ","100 ","176 ",2014,1,"Q1"
