"","Date","AQI","Range","Quality level","PM2.5","PM10","SO2","CO","NO2","O3","Ranking","year","month","quarter"
"1",2014-01-01,63,"50~76 ","<U+826F>","26.3 ","50.9 ","49.7 ","0.591 ","25 ","63 ","6 ",2014,1,"Q1"
"2",2014-01-02,70,"51~110 ","<U+826F>","47.3 ","100.3 ","63.8 ","0.978 ","43.6 ","59 ","17 ",2014,1,"Q1"
"3",2014-01-03,120,"75~220 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","89.8 ","135.6 ","78.8 ","1.133 ","54.1 ","62 ","77 ",2014,1,"Q1"
"4",2014-01-04,143,"80~215 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","108.7 ","148 ","71.6 ","1.486 ","63.5 ","63 ","114 ",2014,1,"Q1"
"5",2014-01-05,245,"182~347 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","195.3 ","263.6 ","92 ","2.295 ","82.5 ","45 ","156 ",2014,1,"Q1"
"6",2014-01-06,165,"89~340 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","128.9 ","172 ","94.1 ","1.476 ","61 ","64 ","99 ",2014,1,"Q1"
"7",2014-01-07,93,"54~127 ","<U+826F>","67.4 ","97.8 ","67.1 ","0.985 ","37.5 ","56 ","71 ",2014,1,"Q1"
"8",2014-01-08,60,"37~99 ","<U+826F>","34.1 ","67.7 ","50.9 ","0.574 ","28.7 ","65 ","77 ",2014,1,"Q1"
"9",2014-01-09,74,"44~121 ","<U+826F>","52.1 ","83 ","61.6 ","0.788 ","37.7 ","66 ","86 ",2014,1,"Q1"
"10",2014-01-10,80,"59~117 ","<U+826F>","58.5 ","90 ","78.2 ","0.826 ","44 ","59 ","51 ",2014,1,"Q1"
"11",2014-01-11,81,"59~112 ","<U+826F>","57.5 ","97.8 ","80 ","0.836 ","42 ","61 ","50 ",2014,1,"Q1"
"12",2014-01-12,93,"61~137 ","<U+826F>","69.1 ","101.2 ","58.9 ","0.828 ","39.3 ","59 ","94 ",2014,1,"Q1"
"13",2014-01-13,115,"68~202 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","85.9 ","122.9 ","70.5 ","1.155 ","48.9 ","62 ","117 ",2014,1,"Q1"
