"","Date","AQI","Range","Quality level","PM2.5","PM10","SO2","CO","NO2","O3","Ranking","year","month","quarter"
"1",2014-01-01,115,"107~119 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","46.6 ","163 ","49.4 ","0.422 ","38.5 ","63 ","74 ",2014,1,"Q1"
"2",2014-01-02,91,"57~107 ","<U+826F>","45.3 ","103.2 ","25.9 ","0.648 ","42.4 ","81 ","42 ",2014,1,"Q1"
"3",2014-01-03,67,"30~121 ","<U+826F>","38.5 ","83.4 ","22.5 ","0.754 ","23 ","69 ","27 ",2014,1,"Q1"
"4",2014-01-04,30,"22~36 ","<U+4F18>","10.6 ","23 ","12.6 ","0.555 ","18.5 ","65 ","5 ",2014,1,"Q1"
"5",2014-01-05,82,"23~194 ","<U+826F>","58.2 ","93.7 ","44.7 ","1.062 ","46.1 ","44 ","34 ",2014,1,"Q1"
"6",2014-01-06,173,"124~217 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","130.7 ","185.1 ","61.8 ","1.652 ","59.3 ","78 ","98 ",2014,1,"Q1"
"7",2014-01-07,132,"72~206 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","99.4 ","135.9 ","42.4 ","1.145 ","54.3 ","59 ","97 ",2014,1,"Q1"
"8",2014-01-08,42,"29~95 ","<U+4F18>","17.2 ","37.3 ","12.7 ","0.474 ","11.7 ","83 ","29 ",2014,1,"Q1"
"9",2014-01-09,44,"34~68 ","<U+4F18>","18.3 ","36 ","25.5 ","0.596 ","17.5 ","82 ","18 ",2014,1,"Q1"
"10",2014-01-10,68,"54~87 ","<U+826F>","46.3 ","78 ","56.5 ","0.757 ","34.6 ","66 ","33 ",2014,1,"Q1"
"11",2014-01-11,176,"80~249 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","133.9 ","181.5 ","111.1 ","1.259 ","53.3 ","78 ","130 ",2014,1,"Q1"
"12",2014-01-12,126,"34~270 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","86.4 ","122.7 ","47.2 ","0.872 ","24.4 ","81 ","76 ",2014,1,"Q1"
