"","Date","AQI","Range","Quality level","PM2.5","PM10","SO2","CO","NO2","O3","Ranking","year","month","quarter"
"1",2014-01-01,108,"102~129 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","91.1 ","189.3 ","70.7 ","3.891 ","67.5 ","32 ","63 ",2014,1,"Q1"
"2",2014-01-02,125,"82~141 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","88.7 ","178.3 ","65.5 ","3.657 ","64.1 ","33 ","83 ",2014,1,"Q1"
"3",2014-01-03,93,"58~113 ","<U+826F>","49.5 ","133.9 ","49.3 ","2.688 ","52 ","46 ","54 ",2014,1,"Q1"
"4",2014-01-04,116,"88~180 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","73.7 ","173.3 ","67 ","3.377 ","65.3 ","27 ","84 ",2014,1,"Q1"
"5",2014-01-05,199,"171~239 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","151.3 ","288 ","107.8 ","4.162 ","81.9 ","19 ","131 ",2014,1,"Q1"
"6",2014-01-06,218,"190~243 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","167.7 ","311.3 ","146.6 ","4.243 ","84.4 ","16 ","137 ",2014,1,"Q1"
"7",2014-01-07,125,"61~172 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","89.5 ","165 ","64 ","3.04 ","52.5 ","19 ","91 ",2014,1,"Q1"
"8",2014-01-08,73,"55~90 ","<U+826F>","34.2 ","94.6 ","45.3 ","2.396 ","40.4 ","43 ","103 ",2014,1,"Q1"
"9",2014-01-09,97,"67~143 ","<U+826F>","64.3 ","139.3 ","79.8 ","2.763 ","54.5 ","21 ","129 ",2014,1,"Q1"
"10",2014-01-10,179,"132~230 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","135.9 ","235.7 ","119 ","3.026 ","75.9 ","17 ","151 ",2014,1,"Q1"
"11",2014-01-11,168,"77~290 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","128.5 ","217.7 ","93.7 ","2.705 ","67.8 ","28 ","122 ",2014,1,"Q1"
"12",2014-01-12,93,"65~124 ","<U+826F>","48.1 ","134.2 ","62.6 ","2.172 ","55.7 ","35 ","97 ",2014,1,"Q1"
"13",2014-01-13,120,"97~157 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","81.1 ","186.1 ","75.7 ","2.765 ","63.4 ","22 ","128 ",2014,1,"Q1"
"14",2014-01-14,185,"138~221 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","139.9 ","264.1 ","97.3 ","3.36 ","80.9 ","19 ","145 ",2014,1,"Q1"
"15",2014-01-15,272,"215~344 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","221 ","362.8 ","119.4 ","3.66 ","90 ","19 ","155 ",2014,1,"Q1"
"16",2014-01-16,323,"253~352 ","<U+4E25><U+91CD><U+6C61><U+67D3>","272 ","397 ","121.7 ","4 ","99.3 ","22 ","174 ",2014,1,"Q1"
"17",2014-01-17,234,"150~327 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","187 ","272.3 ","83.6 ","3.371 ","87.3 ","28 ","133 ",2014,1,"Q1"
"18",2014-01-18,124,"108~158 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","93.3 ","174.3 ","90.7 ","2.552 ","71.9 ","24 ","69 ",2014,1,"Q1"
"19",2014-01-19,105,"69~128 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","56.9 ","151.1 ","59.7 ","1.965 ","58.7 ","43 ","43 ",2014,1,"Q1"
"20",2014-01-20,79,"55~111 ","<U+826F>","45.8 ","105.7 ","53.1 ","2.1 ","60.1 ","43 ","52 ",2014,1,"Q1"
"21",2014-01-21,110,"89~134 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","77.7 ","164 ","65.4 ","2.56 ","69.2 ","27 ","122 ",2014,1,"Q1"
"22",2014-01-22,189,"141~242 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","143.5 ","231.1 ","95.1 ","3.08 ","91.2 ","26 ","177 ",2014,1,"Q1"
"23",2014-01-23,248,"214~315 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","197.5 ","292.2 ","112.5 ","3.365 ","96.6 ","39 ","178 ",2014,1,"Q1"
"24",2014-01-24,222,"101~348 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","173.6 ","282.1 ","99.6 ","2.733 ","78.7 ","28 ","142 ",2014,1,"Q1"
"25",2014-01-25,132,"111~192 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","100.2 ","189.9 ","77.4 ","2.511 ","69.8 ","30 ","112 ",2014,1,"Q1"
"26",2014-01-26,169,"128~224 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","128 ","219 ","85.6 ","2.381 ","65.2 ","35 ","153 ",2014,1,"Q1"
"27",2014-01-27,253,"209~276 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","202.6 ","289.9 ","81.3 ","2.832 ","74.7 ","45 ","169 ",2014,1,"Q1"
"28",2014-01-28,250,"186~306 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","199.8 ","283.2 ","88.6 ","2.92 ","76.7 ","46 ","169 ",2014,1,"Q1"
"29",2014-01-29,293,"224~328 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","242.2 ","330.7 ","82.2 ","3.089 ","83.8 ","80 ","179 ",2014,1,"Q1"
"30",2014-01-30,357,"311~500 ","<U+4E25><U+91CD><U+6C61><U+67D3>","302.3 ","410.5 ","92.9 ","3.314 ","88.9 ","103 ","181 ",2014,1,"Q1"
"31",2014-01-31,487,"458~500 ","<U+4E25><U+91CD><U+6C61><U+67D3>","527 ","659 ","125 ","3.843 ","85.3 ","39 ","184 ",2014,1,"Q1"
"32",2014-02-01,390,"334~456 ","<U+4E25><U+91CD><U+6C61><U+67D3>","344.8 ","452.9 ","68.9 ","3.759 ","72.5 ","55 ","184 ",2014,2,"Q1"
"33",2014-02-02,434,"376~500 ","<U+4E25><U+91CD><U+6C61><U+67D3>","397.5 ","511 ","65.1 ","4.332 ","87 ","95 ","186 ",2014,2,"Q1"
"34",2014-02-03,254,"80~500 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","204.4 ","326.6 ","52.4 ","2.735 ","53.5 ","60 ","170 ",2014,2,"Q1"
"35",2014-02-04,123,"84~158 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","63.1 ","194.6 ","53.8 ","1.961 ","35.8 ","32 ","167 ",2014,2,"Q1"
"36",2014-02-05,84,"68~98 ","<U+826F>","61.5 ","87.1 ","29.9 ","1.855 ","30 ","28 ","155 ",2014,2,"Q1"
"37",2014-02-06,101,"80~133 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","75.2 ","95.2 ","48.4 ","1.85 ","33.1 ","23 ","156 ",2014,2,"Q1"
"38",2014-02-07,237,"230~243 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","186 ","242.3 ","57 ","2.3 ","61.3 ","17 ","187 ",2014,2,"Q1"
"39",2014-02-08,231,"209~254 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","180.2 ","231.2 ","73.4 ","2.4 ","46 ","26 ","187 ",2014,2,"Q1"
"40",2014-02-09,96,"52~205 ","<U+826F>","69.5 ","100 ","55.8 ","1.933 ","36.6 ","41 ","142 ",2014,2,"Q1"
"41",2014-02-10,111,"93~135 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","83.3 ","115 ","57.8 ","1.995 ","43.2 ","46 ","171 ",2014,2,"Q1"
"42",2014-02-11,165,"137~204 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","124.7 ","164.3 ","88.4 ","2.07 ","51.6 ","34 ","178 ",2014,2,"Q1"
"43",2014-02-12,233,"204~282 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","182.1 ","230.8 ","89.6 ","2.442 ","55.5 ","39 ","179 ",2014,2,"Q1"
"44",2014-02-13,199,"166~232 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","151.1 ","185.9 ","100.7 ","2.37 ","52 ","48 ","170 ",2014,2,"Q1"
"45",2014-02-14,236,"216~291 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","184.8 ","235.3 ","97.1 ","2.575 ","58.3 ","38 ","170 ",2014,2,"Q1"
"46",2014-02-15,298,"271~329 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","247.9 ","313.5 ","86.3 ","3.029 ","63.1 ","30 ","176 ",2014,2,"Q1"
"47",2014-02-16,278,"256~298 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","227.7 ","289.9 ","76.8 ","2.817 ","61 ","27 ","176 ",2014,2,"Q1"
"48",2014-02-17,181,"138~257 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","138.2 ","170.6 ","43.9 ","2.513 ","45.6 ","23 ","166 ",2014,2,"Q1"
"49",2014-02-18,193,"169~222 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","145.9 ","180.5 ","59 ","2.279 ","45.5 ","39 ","186 ",2014,2,"Q1"
"50",2014-02-19,174,"141~210 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","131.3 ","166.6 ","55.3 ","2.37 ","56.1 ","67 ","175 ",2014,2,"Q1"
"51",2014-02-20,192,"166~224 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","145.8 ","205.9 ","58.5 ","2.376 ","55.9 ","58 ","162 ",2014,2,"Q1"
"52",2014-02-21,258,"226~283 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","207.8 ","292.3 ","90.1 ","2.38 ","63.8 ","33 ","176 ",2014,2,"Q1"
"53",2014-02-22,292,"272~313 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","242 ","336.4 ","80.1 ","2.635 ","63.9 ","38 ","180 ",2014,2,"Q1"
"54",2014-02-23,297,"267~329 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","246.1 ","344.8 ","74.7 ","2.67 ","66.2 ","34 ","179 ",2014,2,"Q1"
"55",2014-02-24,292,"266~320 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","241.3 ","342.9 ","67.7 ","2.796 ","62.1 ","22 ","174 ",2014,2,"Q1"
"56",2014-02-25,297,"252~340 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","245.7 ","355.2 ","58.5 ","2.817 ","60.7 ","40 ","172 ",2014,2,"Q1"
"57",2014-02-26,205,"96~322 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","163.3 ","255 ","43.8 ","2.638 ","49.8 ","16 ","146 ",2014,2,"Q1"
"58",2014-02-27,125,"91~174 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","70.4 ","198.8 ","43.3 ","2.081 ","40.8 ","35 ","132 ",2014,2,"Q1"
"59",2014-02-28,117,"99~135 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","88.6 ","121.8 ","38.4 ","2.127 ","38.4 ","15 ","169 ",2014,2,"Q1"
"60",2014-03-01,174,"141~190 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","131.7 ","184.8 ","43.1 ","2.6 ","51.3 ","17 ","180 ",2014,3,"Q1"
"61",2014-03-02,207,"172~254 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","159.1 ","241.7 ","54.8 ","2.9 ","59.1 ","17 ","172 ",2014,3,"Q1"
"62",2014-03-03,250,"230~278 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","199.8 ","303 ","52.9 ","3.038 ","62.5 ","15 ","182 ",2014,3,"Q1"
"63",2014-03-04,148,"62~248 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","108.4 ","173.5 ","49.5 ","2.309 ","48.5 ","57 ","143 ",2014,3,"Q1"
"64",2014-03-05,156,"84~211 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","114.3 ","191.4 ","52.3 ","2.536 ","52.8 ","22 ","163 ",2014,3,"Q1"
"65",2014-03-06,167,"137~206 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","126.1 ","161.1 ","44 ","2.792 ","48.9 ","16 ","180 ",2014,3,"Q1"
"66",2014-03-07,150,"123~171 ","<U+4E2D><U+5EA6><U+6C61><U+67D3>","114.3 ","160.2 ","43.9 ","2.609 ","42.5 ","34 ","174 ",2014,3,"Q1"
"67",2014-03-08,124,"74~158 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","93.7 ","138.1 ","48.1 ","2.983 ","48.9 ","66 ","147 ",2014,3,"Q1"
"68",2014-03-09,109,"88~164 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","81.5 ","157.6 ","45.4 ","3.183 ","57.7 ","83 ","130 ",2014,3,"Q1"
"69",2014-03-10,149,"76~223 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","111.6 ","210 ","50 ","3.021 ","58.6 ","78 ","137 ",2014,3,"Q1"
"70",2014-03-11,104,"75~165 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","76.8 ","150.5 ","43.7 ","2.21 ","47.7 ","52 ","96 ",2014,3,"Q1"
"71",2014-03-12,107,"61~207 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","34.7 ","162.9 ","25 ","1.662 ","31.7 ","66 ","123 ",2014,3,"Q1"
"72",2014-03-13,76,"55~103 ","<U+826F>","32.9 ","100.2 ","33.6 ","1.717 ","40.9 ","71 ","102 ",2014,3,"Q1"
"73",2014-03-14,97,"67~120 ","<U+826F>","49.9 ","142.2 ","34.3 ","1.987 ","52 ","65 ","117 ",2014,3,"Q1"
"74",2014-03-15,109,"57~151 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","61.4 ","166.8 ","37.1 ","2.139 ","51.5 ","83 ","106 ",2014,3,"Q1"
"75",2014-03-16,121,"81~167 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","75.7 ","188.9 ","34.9 ","2.304 ","60.8 ","89 ","116 ",2014,3,"Q1"
"76",2014-03-17,146,"109~194 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","88 ","237.4 ","34 ","2.296 ","53.2 ","82 ","132 ",2014,3,"Q1"
"77",2014-03-18,243,"100~370 ","<U+91CD><U+5EA6><U+6C61><U+67D3>","110 ","359.9 ","36.1 ","2.25 ","54.8 ","23 ","153 ",2014,3,"Q1"
"78",2014-03-19,114,"88~166 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","73.8 ","175.3 ","30.2 ","1.996 ","42.1 ","62 ","125 ",2014,3,"Q1"
"79",2014-03-20,75,"59~104 ","<U+826F>","26.8 ","98.6 ","18 ","1.621 ","32.5 ","62 ","98 ",2014,3,"Q1"
"80",2014-03-21,98,"77~115 ","<U+826F>","50.2 ","144.2 ","29.1 ","2.025 ","51 ","68 ","152 ",2014,3,"Q1"
"81",2014-03-22,112,"69~144 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","70.4 ","172.2 ","37.9 ","2.475 ","59.3 ","96 ","143 ",2014,3,"Q1"
"82",2014-03-23,106,"72~137 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","70.7 ","160.3 ","37.7 ","2.443 ","55.1 ","87 ","113 ",2014,3,"Q1"
"83",2014-03-24,89,"69~108 ","<U+826F>","51.8 ","125.4 ","38.8 ","2.005 ","43.6 ","87 ","85 ",2014,3,"Q1"
"84",2014-03-25,103,"55~138 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","66.6 ","154.1 ","28.5 ","2.089 ","52.8 ","105 ","89 ",2014,3,"Q1"
"85",2014-03-26,127,"92~160 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","81.2 ","202.5 ","34.4 ","2.118 ","64 ","127 ","116 ",2014,3,"Q1"
"86",2014-03-27,104,"51~185 ","<U+8F7B><U+5EA6><U+6C61><U+67D3>","58.3 ","156.2 ","23.4 ","1.641 ","41.5 ","101 ","82 ",2014,3,"Q1"
